flight,time,length,airline,airportfrom,airportto,dayofweek,delay
3765.0,870.0,150.0,MQ,DEN,ORD,4,0
4522.0,509.0,91.0,MQ,JFK,DCA,6,0
778.0,1409.0,293.0,B6,LAS,BOS,4,1
104.0,650.0,73.0,US,LAS,LAX,6,0
3223.0,930.0,165.0,WN,PHL,PBI,2,1
1812.0,1290.0,127.0,DL,ATL,ORD,7,1
1016.0,730.0,155.0,CO,RSW,CLE,3,0
931.0,1107.0,93.0,UA,SFO,LAX,4,0
618.0,1025.0,245.0,AA,SFO,ORD,4,0
610.0,1250.0,75.0,WN,PHX,SNA,5,1
1048.0,620.0,180.0,WN,BWI,MSY,1,1
2915.0,635.0,90.0,WN,DEN,TUL,6,0
6452.0,510.0,71.0,OO,FAT,LAX,4,0
2617.0,1170.0,258.0,DL,MEM,LAX,4,1
2501.0,680.0,121.0,XE,IAH,ELP,1,0
6466.0,585.0,135.0,OH,CVG,LGA,3,1
2115.0,965.0,84.0,DL,ATL,GPT,1,0
509.0,929.0,183.0,B6,EWR,FLL,5,0
1881.0,1080.0,366.0,CO,EWR,SEA,5,1
1828.0,670.0,135.0,WN,MDW,BOS,5,1
4423.0,1190.0,115.0,MQ,JFK,RDU,7,0
6606.0,616.0,116.0,OO,DEN,MLI,4,0
6673.0,561.0,44.0,OO,MRY,SFO,3,0
132.0,569.0,36.0,HA,OGG,ITO,2,0
854.0,480.0,94.0,FL,MCO,ATL,4,1
388.0,530.0,70.0,WN,PHX,SAN,4,0
3876.0,810.0,99.0,9E,MLI,DTW,4,1
2361.0,540.0,145.0,DL,PHL,ATL,6,1
702.0,813.0,168.0,UA,BOS,ORD,6,0
628.0,1260.0,102.0,UA,ORD,DCA,2,0
2767.0,630.0,105.0,MQ,DFW,VPS,4,0
7000.0,1015.0,95.0,OO,SGF,ORD,4,1
383.0,460.0,268.0,F9,FLL,DEN,6,1
2236.0,855.0,167.0,XE,MSP,EWR,5,1
859.0,945.0,122.0,US,MCO,DCA,6,0
4477.0,520.0,102.0,OO,SLC,GEG,3,1
712.0,1215.0,120.0,WN,IAD,MDW,7,1
1060.0,1215.0,75.0,WN,OAK,LAX,1,1
1099.0,1181.0,135.0,FL,IND,MCO,7,1
2481.0,345.0,120.0,DL,ORF,ATL,5,0
7217.0,581.0,90.0,YV,ORD,MCI,4,1
1040.0,705.0,212.0,US,CLT,STT,6,0
547.0,900.0,156.0,US,DFW,PHX,1,0
56.0,1356.0,323.0,UA,SFO,EWR,7,1
81.0,360.0,111.0,US,SFO,PHX,4,0
1493.0,945.0,189.0,DL,BDL,PBI,2,0
432.0,753.0,117.0,DL,EWR,DTW,7,0
4041.0,920.0,50.0,MQ,ORD,BMI,3,0
5.0,1135.0,119.0,US,ORD,PHL,5,1
3060.0,840.0,60.0,MQ,LAX,FAT,7,0
6698.0,477.0,145.0,OO,PDX,DEN,4,0
2725.0,1110.0,91.0,YV,ELP,PHX,3,0
900.0,628.0,98.0,UA,SAN,SFO,4,0
5972.0,1182.0,95.0,XE,ORD,ROA,7,0
5354.0,704.0,95.0,EV,OAJ,ATL,1,1
402.0,1220.0,131.0,F9,LAX,DEN,3,0
5256.0,450.0,115.0,EV,TRI,DTW,7,0
1392.0,1050.0,76.0,DL,LGA,BOS,1,0
3503.0,900.0,165.0,WN,MDW,DEN,7,0
7050.0,1306.0,138.0,OO,DEN,RNO,2,0
374.0,697.0,186.0,CO,SAN,IAH,4,1
315.0,1100.0,200.0,WN,LAS,MKE,4,1
688.0,960.0,135.0,UA,ORD,LGA,5,0
1907.0,755.0,90.0,WN,MDW,MCI,7,1
3846.0,1175.0,75.0,WN,STL,TUL,7,1
14.0,905.0,306.0,AS,SEA,EWR,1,0
6737.0,1302.0,148.0,OO,DEN,FAT,3,1
300.0,528.0,112.0,UA,DEN,DFW,5,1
6286.0,481.0,134.0,OO,DEN,PSP,6,0
4048.0,1175.0,73.0,9E,MSP,GFK,4,0
840.0,589.0,92.0,FL,MCO,ATL,2,0
2187.0,390.0,192.0,XE,EWR,MSP,2,0
2934.0,870.0,75.0,WN,BNA,ECP,6,1
684.0,840.0,135.0,UA,ORD,LGA,4,0
1176.0,539.0,120.0,CO,ORD,EWR,2,0
4203.0,405.0,75.0,MQ,ORD,CMH,3,0
2579.0,750.0,205.0,DL,JFK,MIA,3,1
3227.0,1025.0,45.0,MQ,DFW,TYR,6,0
1470.0,1240.0,64.0,US,PHL,SYR,3,0
1523.0,1215.0,280.0,AA,ORD,SFO,7,0
3839.0,1033.0,105.0,9E,DTW,BNA,1,1
587.0,615.0,153.0,AS,SNA,PDX,6,1
469.0,1205.0,104.0,FL,ATL,BWI,5,0
2356.0,905.0,140.0,AA,DFW,ORD,3,1
1248.0,585.0,107.0,DL,ATL,PIT,3,0
491.0,785.0,80.0,WN,JAN,HOU,4,1
3225.0,620.0,130.0,MQ,CID,DFW,6,1
5240.0,770.0,120.0,EV,ICT,ATL,3,1
6496.0,1251.0,127.0,OO,LAX,COS,2,1
300.0,945.0,120.0,WN,DEN,MSP,1,1
