flight,time,length,airline,airportfrom,airportto,dayofweek,delay
59.0,770.0,155.0,WN,SEA,DEN,4,1
7240.0,360.0,143.0,YV,ORF,ORD,5,1
1630.0,605.0,135.0,WN,BWI,BHM,7,1
907.0,880.0,103.0,US,CLT,TPA,1,0
7004.0,567.0,66.0,OO,SBP,SFO,4,1
892.0,710.0,240.0,FL,LAX,MKE,7,0
1831.0,705.0,132.0,US,CLT,MIA,6,1
2564.0,925.0,187.0,XE,EWR,MSP,4,0
1120.0,623.0,96.0,US,MCO,CLT,5,0
2178.0,677.0,182.0,XE,RDU,IAH,7,0
917.0,1035.0,358.0,UA,IAD,SEA,3,1
1319.0,730.0,115.0,WN,LAS,DEN,3,1
2344.0,690.0,135.0,AA,DFW,ORD,3,1
121.0,925.0,170.0,UA,ORD,IAH,4,0
764.0,1115.0,195.0,AA,DFW,LGA,2,0
4652.0,390.0,120.0,MQ,ATL,LGA,2,0
6473.0,1028.0,102.0,OO,BIS,DEN,7,0
2771.0,1258.0,91.0,YV,PHX,SBA,7,0
1546.0,1100.0,60.0,WN,RDU,BWI,4,1
6580.0,699.0,101.0,OO,SFO,MFR,1,1
1455.0,930.0,375.0,AA,MIA,SFO,2,1
1157.0,535.0,70.0,WN,BWI,LGA,4,1
578.0,595.0,238.0,US,PHX,TPA,1,0
933.0,510.0,75.0,WN,BDL,BWI,5,0
702.0,705.0,265.0,US,PHX,PHL,3,0
673.0,665.0,367.0,B6,JFK,LAX,4,1
260.0,1316.0,139.0,UA,IAD,MCO,7,0
1885.0,665.0,103.0,DL,ATL,MSY,6,0
1347.0,750.0,345.0,WN,PHL,PHX,3,1
3272.0,455.0,135.0,MQ,PIA,DFW,7,0
754.0,1000.0,70.0,WN,SAN,LAS,1,0
511.0,1270.0,174.0,F9,DEN,SEA,5,1
4713.0,910.0,109.0,OO,SLC,SMF,4,1
4964.0,865.0,104.0,EV,IND,ATL,7,0
981.0,420.0,158.0,US,MSP,CLT,5,1
20.0,835.0,140.0,WN,LBB,LAS,7,0
1589.0,865.0,210.0,CO,ATL,SAN,5,1
6610.0,1040.0,80.0,OH,ORD,CVG,3,1
2643.0,1355.0,116.0,YV,CLT,MEM,4,0
1496.0,780.0,166.0,DL,MSP,LGA,1,0
2015.0,895.0,190.0,AA,DTW,MIA,1,1
2760.0,810.0,159.0,XE,IAH,MSP,2,0
1481.0,835.0,60.0,AA,OKC,DFW,7,0
1253.0,840.0,101.0,B6,BOS,IAD,4,1
2180.0,1020.0,78.0,US,DCA,LGA,7,1
510.0,860.0,210.0,AA,PHX,ORD,3,1
1537.0,490.0,60.0,WN,SEA,GEG,1,0
2027.0,495.0,55.0,WN,TPA,FLL,4,0
4358.0,965.0,70.0,MQ,IND,ORD,2,0
3710.0,600.0,79.0,9E,DTW,ELM,6,1
1152.0,1410.0,299.0,DL,HNL,SFO,2,0
1169.0,1090.0,75.0,WN,MSY,HOU,3,0
5490.0,975.0,99.0,EV,LFT,ATL,4,0
2548.0,884.0,166.0,DL,RSW,LGA,4,1
612.0,1150.0,140.0,F9,DEN,IND,1,1
6909.0,715.0,48.0,OO,ORD,ATW,2,1
1021.0,410.0,85.0,WN,MDW,BNA,7,0
2714.0,975.0,180.0,MQ,SAV,DFW,7,0
7283.0,676.0,107.0,YV,ORD,CLT,5,1
2194.0,475.0,121.0,DL,PBI,ATL,3,0
279.0,500.0,65.0,B6,LAS,LGB,4,0
1299.0,725.0,102.0,US,MDT,CLT,4,0
899.0,785.0,140.0,WN,OAK,DEN,2,1
636.0,875.0,85.0,WN,SNA,OAK,4,1
2543.0,1015.0,94.0,DL,ATL,SRQ,2,1
2745.0,360.0,127.0,XE,BNA,EWR,4,1
1723.0,370.0,160.0,AA,BWI,MIA,3,1
2454.0,1355.0,60.0,AA,DFW,SAT,7,1
219.0,495.0,215.0,WN,LAS,MDW,3,1
1671.0,370.0,82.0,US,SYR,DCA,4,0
930.0,545.0,67.0,FL,ATL,JAX,7,0
6516.0,425.0,165.0,OH,MSP,JFK,4,0
23.0,502.0,349.0,UA,LAX,KOA,5,0
427.0,1010.0,300.0,CO,SAN,EWR,7,0
2915.0,665.0,86.0,XE,EWR,ROC,5,1
335.0,1060.0,185.0,AA,ORD,PBI,6,1
678.0,1135.0,154.0,AS,SEA,DEN,4,0
3403.0,510.0,220.0,WN,ABQ,BWI,3,1
1508.0,666.0,243.0,DL,SAN,ATL,7,0
3.0,715.0,375.0,AA,JFK,LAX,1,0
2806.0,360.0,222.0,DL,SFO,MSP,4,1
6823.0,440.0,136.0,OO,BUR,DEN,4,1
2709.0,555.0,149.0,DL,CVG,FLL,5,0
3505.0,630.0,90.0,WN,PHL,BOS,4,1
7279.0,806.0,123.0,YV,ORD,ATL,3,1
5438.0,610.0,108.0,EV,DTW,EWR,2,0
815.0,1168.0,107.0,UA,OMA,DEN,3,0
1247.0,680.0,265.0,AA,ORD,LAX,5,1
2046.0,1170.0,86.0,US,DCA,BOS,2,1
2021.0,920.0,275.0,AA,ORD,SJU,3,0
1950.0,1005.0,119.0,US,FLL,CLT,7,0
3339.0,1085.0,115.0,WN,SLC,LAX,1,1
