flight,time,length,airline,airportfrom,airportto,dayofweek,delay
6700.0,780.0,92.0,OO,LNK,DEN,5,0
1097.0,845.0,255.0,WN,MCO,ABQ,1,1
1720.0,760.0,158.0,DL,MIA,CVG,4,1
1938.0,980.0,102.0,DL,ATL,DCA,4,1
1838.0,1260.0,85.0,WN,SFO,LAS,7,1
1286.0,790.0,159.0,US,MSY,PHL,3,0
1001.0,530.0,200.0,WN,PDX,MCI,4,1
121.0,1069.0,90.0,FL,ATL,TPA,4,0
1655.0,450.0,90.0,WN,ATL,MDW,4,0
1412.0,1260.0,175.0,AA,MIA,JFK,6,1
6384.0,402.0,198.0,OO,BOI,ORD,1,1
17.0,1136.0,303.0,DL,ATL,LAX,4,1
423.0,650.0,211.0,DL,ATL,SJU,4,1
2911.0,1235.0,146.0,DL,ATL,DFW,5,1
1243.0,1155.0,60.0,WN,STL,MDW,4,1
520.0,680.0,126.0,FL,ATL,BWI,2,0
191.0,600.0,120.0,FL,DCA,ATL,4,0
678.0,595.0,85.0,WN,SMF,SAN,2,1
6564.0,620.0,99.0,OH,ATL,ALB,7,0
3934.0,540.0,95.0,WN,BNA,MSY,4,0
136.0,680.0,218.0,AS,ANC,PDX,6,1
5306.0,1020.0,66.0,EV,SHV,MEM,4,0
1773.0,1030.0,70.0,WN,MDW,STL,5,1
6556.0,905.0,135.0,OH,CVG,MSY,5,0
401.0,780.0,110.0,WN,MDW,BWI,5,1
5359.0,971.0,82.0,EV,ATL,MOB,1,1
692.0,715.0,185.0,AA,MIA,EWR,3,0
6911.0,631.0,44.0,OO,MKE,ORD,2,0
1254.0,980.0,90.0,B6,IAD,BOS,6,0
863.0,760.0,145.0,AA,MIA,SJU,5,0
523.0,683.0,165.0,B6,ATL,MCO,5,0
606.0,1415.0,65.0,US,PHX,LAS,7,1
181.0,887.0,406.0,UA,ATL,SFO,7,1
4484.0,1305.0,52.0,OO,LAX,SAN,2,1
263.0,972.0,49.0,HA,ITO,HNL,6,0
4208.0,1155.0,145.0,MQ,BWI,ORD,3,1
1195.0,1280.0,55.0,AA,DFW,AUS,1,1
169.0,760.0,31.0,HA,KOA,OGG,5,0
