flight,time,length,dayofweek,delay
447.0,797.5977142857142,205.0,4.0,0.0
2979.0,1145.0,80.0,4.0,1.0
174.0,1130.0,116.0,7.0,1.0
460.0,1000.0,70.0,4.0,1.0
7306.0,797.5977142857142,72.0,3.0,0.0
840.0,1070.0,75.0,7.0,1.0
2816.0,770.0,135.0,6.0,1.0
1295.0,500.0,70.0,6.0,1.0
2438.0,680.0,106.0,1.0,1.0
625.0,745.0,77.0,2.0,0.0
507.0,960.0,175.0,7.0,0.0
290.0,1155.0,55.0,5.0,1.0
280.0,797.5977142857142,32.0,2.0,0.0
1134.0,797.5977142857142,60.0,3.0,1.0
857.0,1005.0,155.0,3.0,1.0
2357.0,660.0,225.0,7.0,0.0
471.0,1105.0,115.0,7.0,1.0
721.0,555.0,260.0,1.0,0.0
521.0,797.5977142857142,125.0,3.0,1.0
2135.0,797.5977142857142,135.0,2.0,0.0
1089.0,797.5977142857142,80.0,5.0,0.0
477.0,380.0,165.0,6.0,0.0
676.0,600.0,132.0,5.0,0.0
4524.0,1050.0,83.0,5.0,0.0
1700.0,797.5977142857142,165.0,4.0,0.0
2075.0,783.0,119.0,4.0,0.0
540.0,760.0,240.0,2.0,1.0
3758.0,705.0,155.0,4.0,1.0
823.0,797.5977142857142,90.0,2.0,1.0
7308.0,1164.0,107.0,4.0,0.0
2955.0,590.0,75.0,3.0,0.0
1134.0,670.0,60.0,7.0,0.0
2834.0,1011.0,75.0,1.0,1.0
2117.0,625.0,175.0,7.0,1.0
775.0,797.5977142857142,80.0,7.0,0.0
1292.0,797.5977142857142,242.0,2.0,1.0
2874.0,910.0,89.0,6.0,0.0
1079.0,1035.0,65.0,1.0,1.0
6763.0,910.0,86.0,7.0,1.0
2522.0,1320.0,124.0,4.0,0.0
5595.0,797.5977142857142,84.0,1.0,1.0
5571.0,797.5977142857142,114.0,3.0,1.0
603.0,916.0,157.0,7.0,1.0
944.0,820.0,50.0,5.0,1.0
61.0,1335.0,320.0,1.0,1.0
1236.0,765.0,165.0,5.0,1.0
208.0,1190.0,72.0,2.0,0.0
1871.0,660.0,180.0,5.0,1.0
897.0,490.0,80.0,5.0,0.0
2228.0,797.5977142857142,155.0,4.0,1.0
5442.0,797.5977142857142,131.0,7.0,0.0
1902.0,667.0,229.0,7.0,1.0
2411.0,475.0,205.0,6.0,0.0
4947.0,797.5977142857142,64.0,3.0,0.0
2895.0,730.0,109.0,4.0,0.0
6529.0,415.0,177.0,5.0,0.0
2442.0,797.5977142857142,136.0,2.0,1.0
7037.0,378.0,69.0,1.0,0.0
5328.0,327.0,137.0,2.0,1.0
170.0,686.0,109.0,4.0,0.0
1686.0,797.5977142857142,60.0,2.0,1.0
2279.0,900.0,198.0,2.0,1.0
1229.0,1245.0,125.0,4.0,1.0
2217.0,530.0,285.0,4.0,1.0
2566.0,535.0,224.0,7.0,0.0
145.0,520.0,65.0,2.0,1.0
1427.0,797.5977142857142,175.0,4.0,0.0
2203.0,797.5977142857142,90.0,1.0,0.0
413.0,797.5977142857142,230.0,3.0,1.0
3895.0,928.0,62.0,7.0,1.0
739.0,629.0,73.0,3.0,0.0
4227.0,365.0,52.0,2.0,0.0
2769.0,950.0,75.0,4.0,1.0
1669.0,1135.0,94.0,3.0,1.0
2013.0,1140.0,240.0,4.0,1.0
6439.0,1385.0,38.0,5.0,0.0
1978.0,797.5977142857142,110.0,3.0,0.0
460.0,797.5977142857142,272.0,4.0,1.0
6847.0,1155.0,76.0,5.0,0.0
1149.0,1080.0,369.0,6.0,1.0
200.0,1261.0,134.0,6.0,1.0
6909.0,675.0,115.0,3.0,0.0
371.0,420.0,112.0,3.0,0.0
631.0,797.5977142857142,144.0,3.0,0.0
6654.0,819.0,61.0,4.0,0.0
1115.0,465.0,130.0,2.0,0.0
3052.0,705.0,62.0,5.0,1.0
2.0,540.0,156.0,3.0,1.0
24.0,797.5977142857142,153.0,1.0,1.0
692.0,1210.0,120.0,1.0,1.0
6312.0,797.5977142857142,46.0,3.0,0.0
1132.0,500.0,200.0,3.0,0.0
2813.0,469.0,101.0,3.0,0.0
4676.0,910.0,148.0,7.0,1.0
5113.0,797.5977142857142,57.0,7.0,0.0
5921.0,1255.0,94.0,4.0,0.0
374.0,725.0,125.0,5.0,1.0
704.0,435.0,195.0,3.0,0.0
3088.0,570.0,116.0,5.0,0.0
1414.0,580.0,75.0,3.0,1.0
16.0,600.0,55.0,3.0,1.0
993.0,797.5977142857142,140.0,5.0,0.0
436.0,797.5977142857142,159.0,7.0,0.0
87.0,797.5977142857142,326.0,3.0,1.0
378.0,797.5977142857142,169.0,2.0,1.0
804.0,810.0,247.0,2.0,1.0
2904.0,1155.0,125.0,2.0,0.0
4658.0,675.0,81.0,7.0,1.0
4378.0,860.0,88.0,6.0,0.0
2367.0,797.5977142857142,175.0,7.0,0.0
126.0,510.0,343.0,7.0,0.0
2079.0,797.5977142857142,187.0,7.0,0.0
192.0,905.0,145.0,3.0,0.0
815.0,797.5977142857142,104.0,4.0,0.0
4558.0,826.0,142.0,5.0,0.0
1587.0,775.0,185.0,7.0,1.0
2014.0,797.5977142857142,118.0,3.0,1.0
1764.0,600.0,143.0,2.0,0.0
310.0,648.0,224.0,6.0,0.0
759.0,515.0,70.0,4.0,1.0
1186.0,1019.0,136.0,2.0,1.0
4399.0,805.0,90.0,5.0,1.0
625.0,920.0,65.0,3.0,0.0
3888.0,855.0,63.0,3.0,1.0
1211.0,797.5977142857142,151.0,2.0,1.0
2505.0,1290.0,253.0,4.0,1.0
6763.0,910.0,94.0,3.0,1.0
740.0,1010.0,75.0,3.0,0.0
2515.0,797.5977142857142,262.0,4.0,0.0
1712.0,685.0,65.0,5.0,1.0
1827.0,670.0,114.0,7.0,1.0
250.0,448.0,289.0,7.0,0.0
1678.0,960.0,85.0,1.0,1.0
1794.0,1295.0,124.0,1.0,0.0
1492.0,927.0,132.0,2.0,0.0
1809.0,710.0,123.0,2.0,1.0
115.0,1050.0,164.0,3.0,1.0
2906.0,550.0,55.0,1.0,1.0
6486.0,660.0,75.0,2.0,0.0
7759.0,483.0,72.0,2.0,1.0
3244.0,797.5977142857142,160.0,1.0,1.0
1146.0,797.5977142857142,64.0,5.0,1.0
