flight,time,length,airline,airportfrom,airportto,dayofweek,delay
6554.0,864.0,121.0,OH,STL,DCA,5,1
673.0,815.0,90.0,WN,DAL,BHM,4,1
424.0,742.0,97.0,UA,IAD,BOS,3,0
747.0,996.0,179.0,B6,BDL,MCO,3,0
2981.0,718.0,70.0,XE,BTR,IAH,3,1
823.0,680.0,85.0,WN,LAX,SMF,5,1
7255.0,1323.0,109.0,YV,IAD,ATL,6,0
475.0,1090.0,70.0,WN,PHX,LAS,2,1
4267.0,1255.0,70.0,MQ,ORD,EVV,2,0
6253.0,414.0,90.0,OO,DLH,ORD,1,0
1469.0,970.0,149.0,US,PHL,ATL,4,0
7341.0,405.0,130.0,EV,OKC,ATL,1,0
1815.0,1110.0,217.0,DL,ATL,ELP,6,1
4631.0,625.0,110.0,MQ,LGA,RDU,3,0
329.0,846.0,78.0,DL,JAX,ATL,5,0
5464.0,810.0,125.0,EV,OMA,DTW,2,0
9.0,875.0,167.0,US,SEA,PHX,7,0
661.0,420.0,178.0,B6,SYR,MCO,4,1
4297.0,935.0,143.0,9E,DTW,LIT,3,1
640.0,1260.0,119.0,UA,ORD,PHL,7,0
1262.0,480.0,170.0,WN,MCO,MHT,5,1
2692.0,1140.0,189.0,DL,PHX,MSP,3,1
5588.0,1045.0,74.0,EV,TLH,ATL,7,1
6460.0,600.0,89.0,OH,JFK,BOS,4,0
6229.0,965.0,203.0,OO,SFO,AUS,1,0
689.0,1025.0,164.0,UA,LGA,ORD,2,1
1087.0,465.0,130.0,WN,BNA,FLL,5,0
297.0,435.0,375.0,WN,MHT,LAS,1,0
2337.0,405.0,107.0,XE,GSP,EWR,5,0
1316.0,712.0,168.0,DL,DEN,ATL,2,1
567.0,599.0,246.0,US,PHX,MCO,1,1
2056.0,490.0,113.0,XE,IAH,MCI,3,1
1355.0,440.0,270.0,AA,BOS,DFW,3,0
2514.0,485.0,69.0,XE,HRL,IAH,7,0
6454.0,1115.0,119.0,OO,LAX,ASE,1,0
2878.0,830.0,184.0,DL,SLC,MEM,2,1
1977.0,635.0,95.0,WN,SAN,RNO,6,1
4015.0,1200.0,103.0,9E,DTW,CID,2,0
3961.0,731.0,149.0,9E,ROC,ATL,2,1
1886.0,1035.0,79.0,US,PHL,BOS,7,1
383.0,975.0,270.0,CO,BOS,IAH,7,1
627.0,687.5,210.0,AA,BOS,MIA,2,0
311.0,400.0,84.0,FL,CLT,ATL,6,0
1021.0,520.0,95.0,WN,BNA,MSY,3,1
269.0,1011.0,135.0,UA,RIC,ORD,2,0
4166.0,1020.0,120.0,9E,CLE,JFK,6,0
2505.0,787.5,253.0,DL,MSP,SFO,1,1
688.0,555.0,120.0,WN,BWI,BNA,6,1
1464.0,1245.0,55.0,AA,DFW,TUL,3,1
6317.0,1120.0,122.0,OH,RDU,DTW,7,1
4262.0,1020.0,84.0,9E,SCE,DTW,4,0
1145.0,854.5,220.0,AA,BWI,DFW,3,0
6878.0,689.0,145.0,OO,SJC,DEN,1,1
642.0,648.0,67.0,FL,MSP,MKE,6,0
5450.0,840.0,57.0,EV,ATL,MGM,2,1
4855.0,708.0,82.0,OO,BIL,SLC,5,1
696.0,790.0,115.0,B6,MCO,DCA,1,1
4428.0,850.0,80.0,MQ,BOS,LGA,5,1
2700.0,715.0,228.0,DL,SJC,MSP,1,0
6735.0,580.0,142.0,OH,BOS,RDU,2,0
4014.0,610.0,60.0,MQ,ORD,IND,7,0
4051.0,1060.0,90.0,9E,IND,MEM,1,1
2520.0,885.0,165.0,WN,RSW,PHL,6,1
853.0,565.0,150.0,WN,LAS,AUS,4,0
2521.0,493.0,135.0,XE,STL,EWR,2,1
6717.0,421.0,79.0,OO,SFO,ACV,3,0
1626.0,520.0,374.0,CO,EWR,SAN,1,1
723.0,925.0,174.0,FL,BWI,MSY,2,0
2942.0,1130.0,115.0,MQ,DFW,CMI,2,1
2811.0,925.0,60.0,WN,DAL,SAT,5,1
7246.0,910.0,129.0,YV,CLT,ORD,5,1
2978.0,895.0,81.0,YV,PHX,SNA,6,1
876.0,755.0,330.0,AS,HNL,PDX,2,0
