flight,time,length,airline,airportfrom,airportto,dayofweek,delay
334.0,915.0,37.0,HA,HNL,OGG,7,0
11.0,1229.0,383.0,UA,JFK,LAX,5,0
533.0,430.0,85.0,FL,MEM,ATL,2,0
1779.0,1070.0,61.0,CO,IAH,SAT,5,1
697.0,1045.0,78.0,DL,ATL,PNS,4,1
776.0,790.0,70.0,WN,OMA,STL,3,1
1729.0,688.0,91.0,US,CLT,MCO,1,0
5486.0,897.0,118.0,EV,ATL,EYW,3,0
1748.0,695.0,286.0,US,LAS,PHL,5,1
1555.0,790.0,168.0,US,PHL,FLL,2,1
1433.0,750.0,80.0,B6,SFO,LGB,7,1
1886.0,735.0,165.0,AA,SJU,MIA,3,1
2671.0,1052.0,110.0,YV,CLT,MEM,5,0
2128.0,450.0,104.0,XE,CLE,BOS,1,0
2334.0,630.0,135.0,AA,DFW,ORD,7,0
645.0,555.0,165.0,AA,SJU,MIA,3,1
2572.0,830.0,129.0,XE,IAH,CHS,1,1
1760.0,790.0,120.0,DL,ATL,MDW,4,0
1630.0,790.0,183.0,US,DEN,CLT,2,1
112.0,90.0,200.0,AS,ANC,SEA,6,1
3038.0,790.0,50.0,MQ,SBA,LAX,3,0
273.0,520.0,180.0,FL,BOS,ATL,4,0
1101.0,570.0,122.0,DL,IAH,ATL,5,1
2572.0,740.0,140.0,DL,RSW,CVG,3,1
817.0,985.0,80.0,WN,MDW,DTW,1,1
2482.0,1205.0,105.0,DL,MSP,DTW,6,0
47.0,1170.0,105.0,WN,HOU,BNA,4,0
2657.0,550.0,380.0,DL,JFK,SAN,7,0
3950.0,1025.0,85.0,WN,PVD,BWI,5,1
861.0,790.0,70.0,WN,LAX,OAK,4,0
1922.0,410.0,75.0,DL,MKE,DTW,5,1
745.0,795.0,250.0,AA,LGA,DFW,2,1
581.0,560.0,255.0,AA,STL,LAX,5,0
3652.0,790.0,138.0,9E,ATL,SYR,1,1
3751.0,375.0,103.0,9E,ROC,DTW,5,0
1776.0,790.0,225.0,WN,BWI,HOU,5,1
2757.0,1067.0,89.0,YV,PHX,BUR,7,0
6397.0,1035.0,65.0,OO,SBP,LAX,5,1
139.0,450.0,338.0,US,ANC,PHX,6,1
5603.0,790.0,108.0,EV,ATL,LFT,5,0
483.0,790.0,175.0,AS,SAN,SEA,5,1
6265.0,610.0,119.0,OH,HSV,DTW,6,1
6697.0,360.0,53.0,OO,MKG,ORD,4,0
1621.0,790.0,73.0,CO,IAH,MFE,4,1
2154.0,790.0,252.0,DL,LAX,ATL,5,0
4622.0,450.0,107.0,OO,PDX,SLC,1,0
1681.0,445.0,110.0,WN,PIT,MDW,5,1
324.0,790.0,90.0,WN,DEN,MCI,4,1
2664.0,530.0,74.0,XE,EWR,BDL,3,1
5454.0,817.0,72.0,EV,ECP,ATL,5,0
4262.0,1020.0,84.0,9E,SCE,DTW,7,1
2703.0,790.0,75.0,WN,STL,TUL,3,1
4515.0,790.0,189.0,OO,SLC,ORD,6,1
367.0,790.0,118.0,US,PHX,SMF,1,0
504.0,790.0,80.0,WN,CLE,MDW,3,0
2956.0,790.0,46.0,XE,IAH,AUS,4,1
3193.0,790.0,75.0,MQ,LAX,SJC,5,0
2056.0,483.0,115.0,XE,IAH,MCI,4,1
6984.0,849.0,41.0,OO,LAX,CLD,5,0
5295.0,986.0,64.0,EV,ATL,VLD,4,1
6995.0,785.0,51.0,OO,ORD,FWA,1,1
2660.0,1195.0,82.0,YV,CLT,IAD,7,0
1488.0,1435.0,220.0,AA,DEN,MIA,5,1
3078.0,835.0,159.0,XE,IAH,RIC,5,1
3392.0,605.0,65.0,MQ,FSM,DFW,6,0
2035.0,790.0,158.0,XE,IAH,PIT,4,0
1927.0,800.0,111.0,DL,ATL,FLL,2,1
4021.0,790.0,50.0,MQ,ORD,CMI,1,0
1809.0,790.0,123.0,US,CLT,RSW,2,0
1839.0,360.0,60.0,AA,OKC,DFW,7,0
2203.0,646.0,90.0,XE,TUL,IAH,3,0
1689.0,1080.0,214.0,CO,IAH,SAN,1,1
6469.0,699.0,53.0,OO,LAX,PSP,4,1
519.0,1006.0,264.0,UA,MSP,SFO,5,0
611.0,950.0,165.0,AS,LAS,SEA,5,0
2715.0,790.0,185.0,YV,DSM,PHX,5,0
3903.0,965.0,113.0,9E,ALB,DTW,5,0
3909.0,925.0,110.0,MQ,TYS,ORD,2,1
7020.0,790.0,55.0,OO,ASE,DEN,2,0
2868.0,995.0,140.0,MQ,MLI,DFW,6,1
6744.0,790.0,92.0,OH,DCA,CMH,4,0
366.0,405.0,106.0,AS,SEA,SMF,4,0
4632.0,790.0,91.0,OO,SLC,MSO,4,0
7347.0,790.0,124.0,EV,ICT,ATL,4,0
632.0,790.0,200.0,AA,DFW,BOS,2,1
4360.0,790.0,85.0,MQ,ORD,DTW,7,1
741.0,790.0,245.0,AA,LGA,DFW,6,0
6754.0,790.0,47.0,OO,DEN,ASE,3,1
6233.0,1051.0,46.0,OO,SEA,PDX,6,1
1076.0,650.0,160.0,WN,LAS,OMA,3,1
58.0,1257.0,140.0,B6,MCO,JFK,7,0
1599.0,440.0,140.0,CO,TUS,IAH,6,0
1928.0,790.0,163.0,DL,MCO,DTW,2,0
54.0,790.0,60.0,WN,HOU,DAL,7,1
4244.0,790.0,80.0,MQ,DSM,ORD,5,0
1996.0,830.0,139.0,US,PHL,ORD,2,1
759.0,790.0,105.0,WN,DAL,ELP,4,1
2336.0,880.0,98.0,XE,IAH,ICT,4,1
2703.0,985.0,128.0,DL,CVG,MCO,1,0
637.0,965.0,130.0,AA,MIA,MSY,7,0
2968.0,1165.0,85.0,WN,SAN,OAK,7,0
2852.0,1081.0,99.0,DL,DAB,ATL,4,1
1524.0,990.0,106.0,US,CLT,SYR,2,0
4992.0,770.0,79.0,EV,BQK,ATL,2,0
400.0,390.0,349.0,US,JFK,PHX,5,1
641.0,1155.0,180.0,WN,PHL,FLL,3,0
3041.0,610.0,66.0,XE,IAH,CRP,5,1
4079.0,790.0,110.0,9E,MEM,IAH,1,0
