flight,time,length,dayofweek,delay
5210.0,713.0,71.0,1.0,0.0
2871.0,990.0,55.0,1.0,1.0
519.0,405.0,100.0,3.0,0.0
1925.0,600.0,120.0,2.0,1.0
1273.0,420.0,115.0,2.0,0.0
1048.0,510.0,49.0,3.0,0.0
2324.0,370.0,170.0,3.0,0.0
2697.0,810.0,70.0,2.0,1.0
1550.0,450.0,140.0,6.0,0.0
2387.0,835.0,178.0,1.0,0.0
137.0,865.0,220.0,2.0,1.0
2571.0,670.0,97.0,7.0,0.0
1214.0,600.0,117.0,4.0,0.0
1775.0,675.0,195.0,3.0,1.0
6512.0,455.0,126.0,4.0,0.0
1350.0,820.0,60.0,6.0,1.0
796.0,900.0,143.0,3.0,1.0
4442.0,1155.0,90.0,1.0,0.0
1028.0,991.0,184.0,4.0,1.0
113.0,901.0,146.0,1.0,0.0
659.0,980.0,160.0,4.0,1.0
2209.0,1180.0,190.0,2.0,0.0
103.0,695.0,162.0,3.0,0.0
6515.0,835.0,176.0,6.0,0.0
1329.0,758.0,87.0,3.0,1.0
996.0,1090.0,55.0,1.0,1.0
1145.0,785.0,205.0,5.0,1.0
587.0,1260.0,167.0,1.0,1.0
1244.0,1050.0,80.0,2.0,1.0
6.0,925.0,60.0,5.0,1.0
1204.0,966.0,174.0,1.0,0.0
604.0,720.0,125.0,7.0,0.0
661.0,904.0,110.0,3.0,0.0
5982.0,973.0,72.0,5.0,0.0
1008.0,885.0,95.0,4.0,0.0
1927.0,553.0,110.0,7.0,1.0
1292.0,530.0,170.0,4.0,0.0
6244.0,1360.0,75.0,3.0,1.0
1915.0,1080.0,49.0,3.0,0.0
1555.0,500.0,308.0,3.0,1.0
548.0,1185.0,137.0,5.0,0.0
908.0,675.0,125.0,2.0,1.0
346.0,705.0,159.0,5.0,1.0
1469.0,690.8,149.0,1.0,1.0
6388.0,1023.0,74.0,3.0,1.0
6470.0,1260.0,106.0,3.0,1.0
5906.0,897.0,81.0,3.0,0.0
16.0,470.0,251.0,6.0,1.0
3792.0,585.0,136.0,1.0,0.0
2561.0,615.0,151.0,5.0,0.0
1375.0,460.0,225.0,2.0,0.0
596.0,989.0,151.0,5.0,0.0
2921.0,1025.0,155.0,2.0,0.0
430.0,1030.0,70.0,4.0,1.0
274.0,430.0,170.0,2.0,0.0
