flight,time,length,airline,airportfrom,airportto,dayofweek,delay
318.0,1180.0,90.0,WN,MCI,DAL,3,1
4713.0,370.0,104.0,OO,RAP,SLC,3,1
2069.0,595.0,104.0,DL,ATL,MCO,5,0
3742.0,820.0,105.0,9E,ORF,JFK,4,1
667.0,920.0,237.0,AS,AUS,SJC,3,0
755.0,1080.0,268.0,AS,STL,SEA,5,1
2588.0,525.0,60.0,WN,TPA,FLL,6,0
1741.0,490.0,247.0,DL,CVG,SLC,7,1
6334.0,420.0,116.0,OH,RDU,JFK,2,0
1800.0,740.0,135.0,AA,PHX,DFW,1,1
4128.0,770.0,135.0,MQ,MDT,ORD,6,1
34.0,622.5,85.0,WN,MSY,DAL,6,1
918.0,1115.0,85.0,WN,OAK,BOI,5,1
990.0,1096.0,109.0,UA,ORD,IAD,2,1
2816.0,390.0,96.0,YV,FAT,PHX,5,0
2962.0,1290.0,322.0,DL,LAX,JFK,6,0
6318.0,910.0,80.0,OH,CVG,GSO,7,0
5522.0,400.0,129.0,EV,ICT,ATL,1,0
1552.0,510.0,60.0,AA,MCO,MIA,5,0
3204.0,475.0,55.0,MQ,DFW,SHV,3,1
3027.0,1055.0,68.0,XE,IAH,HRL,3,1
1251.0,1310.0,85.0,AA,DFW,MCI,1,0
499.0,795.0,250.0,AA,BDL,DFW,6,0
2184.0,1140.0,85.0,US,DCA,LGA,5,0
2234.0,477.0,119.0,XE,EWR,DAY,5,1
5453.0,1105.0,90.0,EV,JAN,ATL,2,0
2408.0,516.0,110.0,XE,EWR,CMH,7,0
99.0,831.0,78.0,FL,ATL,RDU,1,1
2804.0,545.0,70.0,MQ,TUL,DFW,5,0
4866.0,480.0,75.0,OO,MKE,CVG,5,1
956.0,980.0,109.0,UA,ORD,BWI,1,0
2058.0,510.0,90.0,WN,BNA,MDW,5,0
2393.0,725.0,126.0,DL,DTW,MSP,6,1
1728.0,750.0,290.0,DL,LAS,JFK,1,1
597.0,1120.0,180.0,AA,ORD,SAT,7,0
255.0,390.0,135.0,WN,ONT,DEN,4,0
630.0,942.0,119.0,F9,DEN,MSN,4,0
5593.0,802.0,177.0,EV,ELP,ATL,6,1
579.0,650.0,170.0,B6,HPN,PBI,3,0
6428.0,821.0,42.0,OO,LAX,SBA,5,1
345.0,477.0,183.0,B6,JFK,SRQ,5,0
412.0,714.0,201.0,UA,SAT,IAD,5,0
