flight,time,length,airline,airportfrom,airportto,dayofweek,delay
2131.0,990.0,180.0,WN,FLL,HOU,5,1
6844.0,964.0,76.0,OO,ORD,DTW,3,1
4316.0,735.0,120.0,MQ,ORD,TUL,3,0
465.0,920.0,165.0,AS,LAX,SEA,1,1
1334.0,725.0,105.0,WN,SMF,PHX,4,1
5920.0,1035.0,76.0,XE,ORD,CLE,7,1
1557.0,960.0,171.0,US,PHL,FLL,5,1
29.0,1185.0,275.0,AS,ORD,SEA,7,1
2184.0,1140.0,85.0,US,DCA,LGA,4,0
3953.0,395.0,137.0,9E,CMH,MSP,1,0
350.0,485.0,155.0,WN,MDW,MCO,4,1
1017.0,1040.0,37.0,YV,HNL,LIH,2,0
1264.0,615.0,166.0,US,MIA,PHL,4,0
4734.0,1160.0,135.0,OO,PIT,MSP,4,1
1616.0,755.0,155.0,AA,SLC,DFW,5,0
6876.0,683.0,145.0,OO,PDX,DEN,5,1
2655.0,1100.0,90.0,DL,ATL,MEM,1,1
348.0,1036.0,131.0,FL,SRQ,BWI,5,0
7770.0,433.0,81.0,OO,SLC,SGU,2,1
5208.0,535.0,96.0,EV,DCA,BOS,6,0
496.0,380.0,99.0,AA,ORD,DCA,4,0
619.0,988.0,167.0,F9,IND,DEN,5,0
2858.0,540.0,72.0,YV,FLG,PHX,3,0
6295.0,539.0,121.0,OO,DEN,TUS,7,0
2711.0,940.0,62.0,XE,EWR,PVD,3,1
569.0,955.0,234.0,US,PHX,MCO,5,0
3959.0,345.0,65.0,9E,ERI,DTW,1,1
2163.0,1080.0,94.0,XE,TUL,IAH,4,0
2300.0,400.0,165.0,WN,TPA,MDW,4,0
2748.0,1000.0,79.0,XE,IAH,MOB,7,1
1217.0,1100.0,130.0,WN,TPA,BWI,3,1
4839.0,660.0,94.0,OO,ABQ,SLC,7,0
6764.0,700.0,138.0,OH,CLT,JFK,2,0
2678.0,1195.0,128.0,DL,MCO,DCA,5,0
95.0,935.0,333.0,DL,JFK,SLC,4,0
1893.0,750.0,217.0,CO,SMF,IAH,4,1
4064.0,815.0,80.0,MQ,ORD,CLE,4,0
1193.0,525.0,90.0,WN,MSY,DAL,4,0
2169.0,600.0,77.0,US,LGA,DCA,3,1
940.0,635.0,85.0,WN,MDW,OMA,5,1
2555.0,419.0,186.0,DL,LGA,PBI,4,1
2873.0,1119.0,110.0,XE,IAH,AMA,3,0
1327.0,1300.0,101.0,DL,DTW,BDL,3,1
6360.0,1030.0,124.0,OH,RDU,MCO,7,0
4690.0,463.0,107.0,OO,LAX,SLC,3,1
4134.0,710.0,165.0,MQ,BDL,ORD,2,0
5251.0,966.0,104.0,EV,BMI,ATL,3,1
3337.0,455.0,65.0,WN,RNO,SJC,2,0
1400.0,1200.0,88.0,US,CLT,BNA,3,0
24.0,800.0,90.0,WN,DAL,BHM,1,1
784.0,1054.0,103.0,UA,DEN,MCI,1,0
371.0,1235.0,150.0,AA,LGA,ORD,3,1
1022.0,745.0,90.0,WN,BOS,BWI,7,0
4784.0,985.0,84.0,OO,RNO,SLC,7,1
5890.0,635.0,87.0,XE,CLE,ORD,5,1
6452.0,620.0,103.0,OH,DTW,IAD,1,0
417.0,1150.0,219.0,CO,IAH,SAN,2,1
6319.0,795.0,113.0,OO,TUL,ORD,2,0
1795.0,470.0,151.0,B6,DCA,FLL,6,1
1251.0,460.0,80.0,WN,BWI,MHT,6,0
3129.0,935.0,118.0,XE,IAH,STL,4,0
1133.0,1130.0,90.0,DL,ATL,CVG,3,0
4272.0,1045.0,116.0,9E,DTW,PVD,6,1
546.0,1008.0,37.0,HA,HNL,OGG,5,1
7308.0,1012.0,117.0,YV,IAD,JAX,2,0
1757.0,835.0,85.0,WN,SMF,SNA,3,1
2001.0,780.0,174.0,XE,MCI,EWR,6,0
1163.0,620.0,150.0,WN,LAS,SAT,2,1
3664.0,915.0,62.0,9E,MBS,DTW,2,0
157.0,735.0,34.0,HA,OGG,HNL,3,1
1787.0,875.0,124.0,US,CLT,MSY,7,0
