flight,time,length,airline,airportfrom,airportto,dayofweek,delay
1107.0,854.0,135.0,CO,ORD,EWR,4,0
1595.0,996.0,113.0,DL,SLC,SAN,2,1
3879.0,905.0,105.0,MQ,ORD,DCA,1,1
194.0,1330.0,335.0,CO,OGG,LAX,3,1
1569.0,1085.0,59.0,US,PHL,BWI,4,0
1018.0,1185.0,35.0,YV,HNL,OGG,3,0
1826.0,880.0,120.0,DL,FLL,ATL,2,0
1465.0,685.0,125.0,WN,RDU,FLL,6,1
1182.0,1198.0,166.0,DL,SLC,STL,7,1
7089.0,1325.0,57.0,EV,IAD,ROA,3,0
798.0,1020.0,148.0,US,MCO,PHL,7,1
6633.0,971.0,92.0,OH,DCA,JFK,5,0
2426.0,455.0,124.0,DL,FLL,ATL,3,0
74.0,814.0,311.0,UA,HNL,SFO,5,1
2499.0,785.0,125.0,XE,IAH,ABQ,6,0
252.0,875.0,280.0,AA,LAX,MIA,7,1
62.0,818.0,112.0,AS,KTN,SEA,5,0
1277.0,775.0,220.0,AA,BWI,DFW,3,0
594.0,1120.0,235.0,AA,SJU,BWI,6,0
639.0,535.0,95.0,WN,GEG,SLC,6,0
546.0,1250.0,150.0,CO,IAH,ORD,3,0
2879.0,770.0,150.0,WN,LAS,GEG,7,1
2582.0,1100.0,154.0,DL,MCO,BDL,5,0
1288.0,1015.0,100.0,AA,MSY,DFW,7,0
2945.0,1020.0,181.0,DL,MSP,IAH,3,0
1566.0,1227.0,140.0,DL,ATL,PVD,6,0
1625.0,1270.0,105.0,WN,LAS,DEN,4,1
11.0,480.0,70.0,WN,MAF,DAL,7,0
3004.0,790.0,148.0,XE,IAH,MKE,4,0
3978.0,855.0,78.0,9E,MEM,TYS,1,0
3512.0,360.0,165.0,MQ,MKE,DFW,4,0
2383.0,725.0,72.0,DL,ATL,JAX,2,0
1917.0,935.0,185.0,AA,JFK,MCO,5,1
568.0,497.0,275.0,UA,ORD,SJU,3,0
4629.0,863.0,167.0,OO,MCI,SLC,1,1
832.0,670.0,90.0,AA,DFW,MCI,2,1
517.0,620.0,96.0,FL,ATL,CMH,4,0
4643.0,523.0,188.0,OO,SLC,MEM,5,0
1085.0,390.0,245.0,US,LAS,CLT,6,0
111.0,1050.0,100.0,CO,EWR,CLE,7,1
2719.0,390.0,60.0,XE,GRK,IAH,4,0
595.0,934.0,166.0,B6,HPN,MCO,7,1
1509.0,681.0,278.0,US,CLT,PHX,5,1
1783.0,821.0,85.0,DL,SLC,LAS,1,0
220.0,385.0,84.0,US,SAN,PHX,3,0
2007.0,495.0,180.0,DL,CLT,MSP,1,1
477.0,530.0,285.0,WN,MDW,SEA,5,1
148.0,1070.0,259.0,US,CMH,PHX,5,1
6770.0,500.0,118.0,OH,DCA,IND,2,1
3842.0,350.0,95.0,MQ,MSP,ORD,3,0
4117.0,370.0,110.0,MQ,TRI,ORD,5,1
167.0,715.0,125.0,WN,LAS,AMA,1,1
1427.0,1010.0,105.0,WN,STL,DAL,2,1
1256.0,870.0,100.0,US,JAX,DCA,6,0
2354.0,1435.0,255.0,DL,LAX,ATL,2,1
